participant,file,qno,rank_raw,rank_systems,rank_1st_system,rank_2nd_system,rank_3rd_system,suspicious_raw,suspicious_system,score_A,score_B,score_C
P22,8用户研究问卷.docx,2,①>③>②,C>B>A,C,B,A,②,A,2,4,5
P22,8用户研究问卷.docx,3,②>③>①,B>A>C,B,A,C,①,C,4,6,2
P22,8用户研究问卷.docx,4,③>②>①,C>A>B,C,A,B,①,B,4,3,5
P22,8用户研究问卷.docx,5,③>②>①,A>C>B,A,C,B,①,B,6,2,4
P22,8用户研究问卷.docx,6,③>②>①,A>C>B,A,C,B,①,B,6,2,5
P22,8用户研究问卷.docx,7,③>①>②,A>C>B,A,C,B,②,B,6,2,5
P22,8用户研究问卷.docx,8,①>②>③,A>C>B,A,C,B,③,B,6,2,4
P22,8用户研究问卷.docx,9,②>③>①,B>A>C,B,A,C,①,C,4,5,3
P22,8用户研究问卷.docx,10,③>①>②,A>B>C,A,B,C,②,C,6,5,2
P23,9用户研究问卷.docx,1,②>①>③,B>C>A,B,C,A,③,A,2,7,5
P23,9用户研究问卷.docx,2,①>③>②,C>B>A,C,B,A,②,A,2,4,6
P23,9用户研究问卷.docx,3,②>①>③,B>C>A,B,C,A,③,A,2,7,5
P23,9用户研究问卷.docx,4,①>②>③,B>A>C,B,A,C,③,C,5,7,2
P23,9用户研究问卷.docx,5,①>②>③,B>C>A,B,C,A,③,A,2,7,4
P23,9用户研究问卷.docx,6,①>②>③,B>C>A,B,C,A,③,A,1,6,4
P23,9用户研究问卷.docx,7,②>③>①,B>A>C,B,A,C,①,C,4,6,1
P23,9用户研究问卷.docx,8,③>①>②,B>A>C,B,A,C,②,C,4,6,1
P23,9用户研究问卷.docx,9,③>①>②,A>C>B,A,C,B,②,B,6,2,4
P23,9用户研究问卷.docx,10,①>②>③,B>C>A,B,C,A,③,A,2,6,4
P24,用户研究问卷(1)(1).docx,1,②>③>①,B>A>C,B,A,C,①,C,5,6,2
P24,用户研究问卷(1)(1).docx,2,③>②>①,B>A>C,B,A,C,①,C,4,6,3
P24,用户研究问卷(1)(1).docx,3,②>①>③,B>C>A,B,C,A,③,A,4,6,5
P24,用户研究问卷(1)(1).docx,4,②>③>①,A>C>B,A,C,B,①,B,5,2,4
P24,用户研究问卷(1)(1).docx,5,②>③>①,C>A>B,C,A,B,①,B,5,3,6
P24,用户研究问卷(1)(1).docx,6,③>②>①,A>C>B,A,C,B,①,B,6,3,4
P24,用户研究问卷(1)(1).docx,7,①>③>②,C>A>B,C,A,B,②,B,4,3,5
P24,用户研究问卷(1)(1).docx,8,③>②>①,B>C>A,B,C,A,①,A,2,6,4
P24,用户研究问卷(1)(1).docx,9,①>②>③,C>B>A,C,B,A,③,A,3,5,6
P24,用户研究问卷(1)(1).docx,10,②>③>①,C>A>B,C,A,B,①,B,5,4,6
P25,用户研究问卷1.docx,1,③>①>②,A>C>B,A,C,B,②,B,5,3,4
P25,用户研究问卷1.docx,2,①>③>②,C>B>A,C,B,A,②,A,4,5,6
P25,用户研究问卷1.docx,3,③>②>①,A>B>C,A,B,C,①,C,6,5,4
P25,用户研究问卷1.docx,4,①>③>②,B>C>A,B,C,A,②,A,4,6,5
P25,用户研究问卷1.docx,5,③>②>①,A>C>B,A,C,B,①,B,6,4,5
P25,用户研究问卷1.docx,6,②>③>①,C>A>B,C,A,B,①,B,5,4,6
P25,用户研究问卷1.docx,7,③>①>②,A>C>B,A,C,B,②,B,6,4,5
P25,用户研究问卷1.docx,8,②>①>③,C>A>B,C,A,B,③,B,4,3,5
P25,用户研究问卷1.docx,9,②>①>③,B>C>A,B,C,A,③,A,4,6,5
P25,用户研究问卷1.docx,10,③>①>②,A>B>C,A,B,C,②,C,6,5,4
P26,用户研究问卷2.docx,1,③>①>②,A>C>B,A,C,B,②,B,4,2,3
P26,用户研究问卷2.docx,2,①>②>③,C>A>B,C,A,B,③,B,4,3,5
P26,用户研究问卷2.docx,3,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P26,用户研究问卷2.docx,4,①>②>③,B>A>C,B,A,C,③,C,4,5,3
P26,用户研究问卷2.docx,5,②>①>③,C>B>A,C,B,A,③,A,3,4,5
P26,用户研究问卷2.docx,6,①>②>③,B>C>A,B,C,A,③,A,3,5,4
P26,用户研究问卷2.docx,7,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P26,用户研究问卷2.docx,8,①>②>③,A>C>B,A,C,B,③,B,3,4,4
P26,用户研究问卷2.docx,9,②>①>③,B>C>A,B,C,A,③,A,3,5,4
P26,用户研究问卷2.docx,10,①>②>③,B>C>A,B,C,A,③,A,3,5,4
P27,用户研究问卷3.docx,1,①>②>③,C>B>A,C,B,A,③,A,1,2,6
P27,用户研究问卷3.docx,2,①>③>②,C>B>A,C,B,A,②,A,2,3,5
P27,用户研究问卷3.docx,3,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P27,用户研究问卷3.docx,4,③>①>②,C>B>A,C,B,A,②,A,4,5,6
P27,用户研究问卷3.docx,5,②>①>③,C>B>A,C,B,A,③,A,3,4,5
P27,用户研究问卷3.docx,6,③>①>②,A>B>C,A,B,C,②,C,6,5,4
P27,用户研究问卷3.docx,7,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P27,用户研究问卷3.docx,8,②>③>①,C>B>A,C,B,A,①,A,3,4,5
P27,用户研究问卷3.docx,9,①>②>③,C>B>A,C,B,A,③,A,3,5,6
P27,用户研究问卷3.docx,10,②>①>③,C>B>A,C,B,A,③,A,3,5,7
P28,用户研究问卷4.docx,1,①>②>③,C>B>A,C,B,A,③,A,2,4,6
P28,用户研究问卷4.docx,2,①>③>②,C>B>A,C,B,A,②,A,2,3,5
P28,用户研究问卷4.docx,3,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P28,用户研究问卷4.docx,4,③>①>②,C>B>A,C,B,A,②,A,4,5,6
P28,用户研究问卷4.docx,5,②>①>③,C>B>A,C,B,A,③,A,3,4,5
P28,用户研究问卷4.docx,6,③>①>②,A>B>C,A,B,C,②,C,6,5,4
P28,用户研究问卷4.docx,7,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P28,用户研究问卷4.docx,8,②>③>①,C>B>A,C,B,A,①,A,3,4,5
P28,用户研究问卷4.docx,9,①>②>③,C>B>A,C,B,A,③,A,3,5,6
P28,用户研究问卷4.docx,10,②>①>③,C>B>A,C,B,A,③,A,3,5,7
P29,用户研究问卷5.docx,1,①>②>③,C>B>A,C,B,A,③,A,3,5,6
P29,用户研究问卷5.docx,2,①>③>②,C>B>A,C,B,A,②,A,2,4,5
P29,用户研究问卷5.docx,3,①>②>③,C>B>A,C,B,A,③,A,3,4,6
P29,用户研究问卷5.docx,4,③>①>②,C>B>A,C,B,A,②,A,3,5,6
P29,用户研究问卷5.docx,5,②>①>③,C>B>A,C,B,A,③,A,3,4,6
P29,用户研究问卷5.docx,6,③>①>②,A>B>C,A,B,C,②,C,6,5,4
P29,用户研究问卷5.docx,7,①>②>③,C>B>A,C,B,A,③,A,3,4,5
P29,用户研究问卷5.docx,8,②>③>①,C>B>A,C,B,A,①,A,2,4,5
P29,用户研究问卷5.docx,9,①>②>③,C>B>A,C,B,A,③,A,4,5,6
P29,用户研究问卷5.docx,10,②>①>③,C>B>A,C,B,A,③,A,2,5,7
P30,用户研究问卷6.docx,1,①>②>③,C>B>A,C,B,A,③,A,3,5,6
P30,用户研究问卷6.docx,2,①>③>②,C>B>A,C,B,A,②,A,3,4,7
P30,用户研究问卷6.docx,3,①>②>③,C>B>A,C,B,A,③,A,3,5,7
P30,用户研究问卷6.docx,4,③>①>②,C>B>A,C,B,A,②,A,3,5,6
P30,用户研究问卷6.docx,5,②>①>③,C>B>A,C,B,A,③,A,3,4,7
P30,用户研究问卷6.docx,6,③>①>②,A>B>C,A,B,C,②,C,7,5,4
P30,用户研究问卷6.docx,7,①>②>③,C>B>A,C,B,A,③,A,4,6,7
P30,用户研究问卷6.docx,8,②>③>①,C>B>A,C,B,A,①,A,2,4,6
P30,用户研究问卷6.docx,9,①>②>③,C>B>A,C,B,A,③,A,4,5,7
P30,用户研究问卷6.docx,10,②>①>③,C>B>A,C,B,A,③,A,3,5,7
